iter	Passed	Remaining
0	141	141257
1	144	71937
2	146	48681
3	148	37026
4	152	30302
5	158	26279
6	164	23356
7	167	20767
8	172	18944
9	181	17995
10	184	16576
11	191	15740
12	195	14844
13	198	13981
14	201	13205
15	203	12528
16	205	11889
17	207	11309
18	208	10785
19	210	10312
20	211	9877
21	213	9481
22	215	9158
23	217	8839
24	219	8544
25	220	8263
26	221	7996
27	223	7751
28	224	7529
29	226	7322
30	228	7137
31	247	7479
32	250	7348
33	253	7200
34	257	7086
35	261	7008
36	264	6872
37	266	6736
38	268	6616
39	270	6496
40	272	6370
41	275	6293
42	278	6191
43	280	6084
44	281	5981
45	283	5871
46	284	5763
47	285	5661
48	287	5579
49	291	5535
50	292	5449
51	294	5362
52	295	5276
53	296	5198
54	298	5125
55	299	5049
56	300	4978
57	302	4914
58	305	4866
59	306	4809
60	308	4747
61	309	4686
62	311	4631
63	312	4571
64	314	4517
65	315	4463
66	316	4409
67	317	4348
68	319	4312
69	322	4283
70	324	4246
71	325	4201
72	328	4165
73	329	4126
74	331	4083
75	333	4049
76	336	4029
77	338	3997
78	340	3968
79	341	3929
80	342	3890
81	344	3852
82	345	3819
83	347	3791
84	349	3767
85	351	3736
86	352	3699
87	354	3668
88	355	3643
89	357	3619
90	359	3592
91	361	3563
92	362	3535
93	365	3526
94	367	3504
95	369	3480
96	371	3457
97	372	3432
98	374	3410
99	376	3387
100	378	3370
101	379	3344
102	381	3325
103	383	3306
104	386	3293
105	389	3281
106	390	3261
107	392	3240
108	396	3240
109	398	3224
110	400	3207
111	402	3190
112	404	3179
113	408	3173
114	411	3164
115	412	3145
116	414	3128
117	415	3108
118	416	3086
119	418	3065
120	419	3045
121	420	3026
122	421	3002
123	422	2983
124	424	2969
125	426	2956
126	427	2942
127	429	2923
128	430	2907
129	432	2895
130	434	2880
131	435	2866
132	437	2854
133	439	2841
134	441	2826
135	442	2813
136	444	2799
137	445	2782
138	446	2766
139	447	2751
140	449	2735
141	450	2721
142	451	2706
143	454	2698
144	455	2688
145	457	2678
146	459	2664
147	461	2654
148	463	2644
149	464	2631
150	465	2619
151	467	2606
152	469	2601
153	472	2593
154	474	2585
155	476	2576
156	478	2567
157	480	2560
158	483	2558
159	486	2553
160	488	2547
161	490	2539
162	493	2534
163	495	2527
164	499	2530
165	502	2523
166	505	2520
167	507	2514
168	510	2508
169	513	2508
170	516	2502
171	518	2494
172	520	2487
173	522	2479
174	524	2472
175	527	2468
176	529	2463
177	532	2457
178	533	2448
179	535	2441
180	536	2429
181	538	2421
182	540	2413
183	543	2411
184	545	2405
185	547	2396
186	549	2389
187	551	2380
188	553	2374
189	555	2368
190	558	2363
191	559	2356
192	561	2348
193	563	2339
194	564	2330
195	566	2323
196	568	2317
197	571	2314
198	575	2314
199	577	2310
200	579	2302
201	580	2295
202	582	2287
203	586	2290
204	590	2288
205	592	2283
206	594	2276
207	596	2269
208	599	2268
209	604	2275
210	608	2276
211	610	2268
212	611	2261
213	613	2253
214	615	2247
215	617	2240
216	619	2234
217	621	2228
218	625	2230
219	634	2250
220	637	2245
221	650	2281
222	652	2273
223	654	2267
224	660	2274
225	662	2270
226	664	2262
227	665	2253
228	666	2243
229	667	2233
230	668	2224
231	669	2214
232	669	2205
233	672	2200
234	674	2194
235	675	2187
236	676	2179
237	678	2170
238	679	2162
239	680	2153
240	681	2145
241	682	2137
242	683	2129
243	685	2123
244	688	2121
245	689	2114
246	691	2107
247	692	2099
248	693	2091
249	694	2083
250	695	2074
251	696	2066
252	697	2058
253	697	2049
254	698	2041
255	700	2035
256	703	2033
257	705	2028
258	706	2021
259	707	2014
260	708	2006
261	709	1998
262	710	1990
263	711	1983
264	712	1975
265	712	1967
266	715	1963
267	717	1959
268	718	1953
269	720	1946
270	721	1940
271	722	1933
272	723	1925
273	724	1918
274	724	1911
275	725	1903
276	726	1896
277	727	1889
278	730	1886
279	731	1881
280	733	1876
281	734	1870
282	736	1866
283	737	1859
284	738	1852
285	739	1846
286	740	1839
287	741	1833
288	743	1830
289	745	1825
290	747	1821
291	749	1817
292	750	1811
293	752	1806
294	753	1800
295	754	1795
296	756	1789
297	759	1789
298	762	1786
299	763	1782
300	765	1777
301	767	1773
302	768	1767
303	769	1761
304	770	1755
305	771	1749
306	773	1746
307	776	1744
308	778	1740
309	779	1735
310	780	1729
311	781	1724
312	782	1718
313	783	1712
314	784	1707
315	786	1701
316	789	1700
317	791	1697
318	793	1694
319	795	1689
320	796	1684
321	798	1681
322	800	1677
323	807	1685
324	811	1686
325	813	1681
326	814	1676
327	815	1671
328	817	1668
329	820	1665
330	822	1661
331	823	1657
332	825	1653
333	827	1649
334	828	1645
335	830	1640
336	833	1640
337	836	1637
338	837	1632
339	838	1628
340	839	1622
341	840	1617
342	841	1612
343	842	1606
344	843	1601
345	844	1595
346	845	1591
347	847	1588
348	849	1583
349	850	1579
350	852	1575
351	853	1571
352	855	1568
353	857	1564
354	858	1560
355	860	1556
356	862	1553
357	865	1552
358	868	1550
359	869	1546
360	871	1542
361	873	1538
362	874	1534
363	876	1530
364	878	1528
365	880	1524
366	881	1520
367	883	1516
368	884	1512
369	885	1508
370	886	1503
371	887	1498
372	889	1494
373	891	1492
374	893	1488
375	894	1485
376	896	1481
377	897	1477
378	899	1473
379	900	1469
380	901	1465
381	903	1461
382	905	1458
383	906	1454
384	908	1451
385	911	1449
386	913	1447
387	915	1444
388	917	1441
389	920	1439
390	922	1437
391	925	1435
392	927	1432
393	929	1429
394	931	1427
395	937	1429
396	939	1427
397	942	1425
398	944	1422
399	946	1419
400	950	1420
401	953	1417
402	955	1414
403	957	1412
404	960	1410
405	962	1408
406	967	1410
407	969	1406
408	971	1404
409	973	1400
410	975	1398
411	978	1397
412	981	1394
413	982	1391
414	984	1388
415	986	1384
416	987	1381
417	989	1377
418	990	1373
419	992	1370
420	994	1368
421	996	1365
422	998	1362
423	1000	1358
424	1001	1355
425	1003	1352
426	1005	1348
427	1007	1347
428	1009	1343
429	1011	1340
430	1012	1336
431	1014	1333
432	1016	1330
433	1018	1327
434	1019	1324
435	1022	1322
436	1024	1320
437	1027	1317
438	1028	1314
439	1030	1311
440	1032	1309
441	1035	1307
442	1040	1307
443	1042	1305
444	1044	1302
445	1046	1299
446	1048	1296
447	1050	1294
448	1054	1293
449	1056	1291
450	1058	1288
451	1060	1285
452	1062	1282
453	1064	1279
454	1066	1277
455	1069	1275
456	1071	1273
457	1074	1271
458	1077	1269
459	1079	1267
460	1084	1268
461	1087	1266
462	1089	1263
463	1091	1261
464	1093	1258
465	1095	1255
466	1098	1253
467	1101	1252
468	1103	1249
469	1105	1247
470	1107	1244
471	1109	1241
472	1112	1239
473	1114	1236
474	1116	1233
475	1117	1230
476	1119	1227
477	1120	1223
478	1122	1220
479	1123	1217
480	1126	1215
481	1128	1212
482	1130	1210
483	1132	1207
484	1134	1204
485	1136	1201
486	1138	1198
487	1141	1197
488	1143	1194
489	1145	1192
490	1147	1189
491	1149	1186
492	1151	1184
493	1155	1183
494	1157	1181
495	1163	1182
496	1167	1181
497	1169	1179
498	1172	1177
499	1174	1174
500	1176	1172
501	1178	1169
502	1182	1168
503	1184	1165
504	1185	1162
505	1187	1159
506	1188	1155
507	1190	1152
508	1191	1149
509	1192	1145
510	1193	1142
511	1195	1139
512	1197	1136
513	1199	1133
514	1200	1130
515	1202	1127
516	1203	1124
517	1204	1120
518	1205	1117
519	1206	1113
520	1207	1110
521	1208	1106
522	1211	1104
523	1213	1102
524	1215	1099
525	1216	1096
526	1218	1093
527	1219	1090
528	1221	1087
529	1222	1084
530	1224	1081
531	1227	1079
532	1228	1076
533	1230	1073
534	1231	1070
535	1233	1067
536	1234	1064
537	1235	1061
538	1236	1057
539	1238	1054
540	1240	1052
541	1243	1050
542	1244	1047
543	1246	1045
544	1248	1042
545	1250	1039
546	1252	1037
547	1255	1035
548	1258	1033
549	1260	1031
550	1262	1028
551	1264	1025
552	1265	1023
553	1267	1020
554	1272	1020
555	1274	1017
556	1276	1015
557	1278	1012
558	1280	1010
559	1282	1007
560	1285	1005
561	1288	1003
562	1290	1001
563	1292	998
564	1293	996
565	1295	993
566	1297	990
567	1300	989
568	1303	987
569	1305	985
570	1308	983
571	1310	980
572	1314	979
573	1317	977
574	1320	975
575	1323	974
576	1326	972
577	1335	975
578	1338	972
579	1341	971
580	1349	973
581	1351	970
582	1353	968
583	1355	965
584	1357	962
585	1359	960
586	1361	958
587	1364	955
588	1366	953
589	1368	950
590	1370	948
591	1373	946
592	1376	944
593	1378	942
594	1380	939
595	1382	937
596	1383	934
597	1385	931
598	1387	928
599	1388	925
600	1390	923
601	1393	920
602	1394	918
603	1396	915
604	1398	912
605	1399	910
606	1400	906
607	1402	904
608	1404	901
609	1405	898
610	1407	896
611	1409	893
612	1411	890
613	1412	887
614	1413	885
615	1414	882
616	1416	879
617	1418	876
618	1419	873
619	1421	871
620	1422	868
621	1424	865
622	1425	862
623	1427	859
624	1428	857
625	1429	854
626	1430	851
627	1432	848
628	1433	845
629	1435	842
630	1437	840
631	1439	838
632	1441	835
633	1442	832
634	1444	830
635	1446	827
636	1448	825
637	1450	823
638	1452	820
639	1454	818
640	1456	815
641	1457	813
642	1459	810
643	1461	808
644	1463	805
645	1465	803
646	1467	800
647	1470	798
648	1472	796
649	1475	794
650	1478	792
651	1480	790
652	1482	787
653	1485	785
654	1487	783
655	1491	781
656	1495	780
657	1498	779
658	1509	781
659	1513	779
660	1515	777
661	1517	774
662	1519	772
663	1524	771
664	1526	769
665	1529	766
666	1531	764
667	1532	761
668	1534	759
669	1536	756
670	1538	754
671	1540	751
672	1542	749
673	1543	746
674	1544	743
675	1546	741
676	1547	738
677	1549	735
678	1550	733
679	1552	730
680	1554	728
681	1556	725
682	1558	723
683	1560	721
684	1562	718
685	1565	716
686	1566	713
687	1568	711
688	1570	708
689	1572	706
690	1574	703
691	1575	701
692	1577	698
693	1580	696
694	1582	694
695	1585	692
696	1587	690
697	1588	687
698	1590	684
699	1592	682
700	1594	680
701	1598	678
702	1600	676
703	1602	673
704	1603	671
705	1604	668
706	1606	665
707	1609	663
708	1612	661
709	1614	659
710	1616	657
711	1618	654
712	1620	652
713	1622	649
714	1625	647
715	1627	645
716	1629	643
717	1631	640
718	1633	638
719	1635	636
720	1637	633
721	1639	631
722	1641	628
723	1643	626
724	1645	624
725	1647	621
726	1649	619
727	1651	617
728	1656	615
729	1658	613
730	1663	612
731	1665	609
732	1670	608
733	1675	607
734	1678	605
735	1681	603
736	1686	601
737	1690	600
738	1692	597
739	1694	595
740	1696	592
741	1699	590
742	1702	588
743	1704	586
744	1706	584
745	1708	581
746	1709	579
747	1711	576
748	1713	574
749	1714	571
750	1716	569
751	1718	566
752	1719	564
753	1721	561
754	1722	559
755	1724	556
756	1726	554
757	1728	551
758	1731	549
759	1733	547
760	1735	544
761	1736	542
762	1738	539
763	1739	537
764	1741	535
765	1744	532
766	1746	530
767	1748	528
768	1750	525
769	1751	523
770	1753	520
771	1754	518
772	1757	516
773	1759	513
774	1761	511
775	1763	509
776	1765	506
777	1766	504
778	1768	501
779	1769	499
780	1771	496
781	1773	494
782	1775	492
783	1777	489
784	1779	487
785	1780	484
786	1781	482
787	1783	479
788	1785	477
789	1787	475
790	1790	472
791	1792	470
792	1793	468
793	1795	465
794	1797	463
795	1799	461
796	1801	458
797	1803	456
798	1805	454
799	1808	452
800	1809	449
801	1811	447
802	1813	444
803	1815	442
804	1817	440
805	1819	437
806	1821	435
807	1823	433
808	1825	430
809	1827	428
810	1832	427
811	1836	425
812	1839	423
813	1842	420
814	1845	418
815	1848	416
816	1850	414
817	1851	411
818	1853	409
819	1855	407
